marker_symbol,mgi_accession_id
Ccdc17,MGI:1915667
Cryba1,MGI:88518
Psg26,MGI:1891358
Prr7,MGI:3487246
Sost,MGI:1921749
Mga,MGI:1352483
Bdnf,MGI:88145
Tmem56,MGI:1923195
Fbh1,MGI:1354699
Ift27,MGI:1914292
Atat1,MGI:1913869
Tns1,MGI:104552
Tbrg1,MGI:1100877
Ptpn3,MGI:105307
Cd93,MGI:106664
Tada2a,MGI:2144471
Slc38a5,MGI:2148066
Trem2,MGI:1913150
Adamts7,MGI:1347346
Tmem72,MGI:2442707
Pitpna,MGI:99887
Gcc2,MGI:1917547
Btnl2,MGI:1859549
Fabp4,MGI:88038
Gngt2,MGI:893584
2610524H06Rik,MGI:2447819
Ralbp1,MGI:108466
Pecam1,MGI:97537
Tmem14c,MGI:1913404
Ceacam13,MGI:1917035
Slc38a1,MGI:2145895
Hsdl1,MGI:1919802
Trp53inp2,MGI:1915978
Trim38,MGI:2684869
Nags,MGI:2387600
Lce1h,MGI:1914968
Xkr6,MGI:2447765
Syndig1,MGI:3702158
Zfp12,MGI:99157
Slc2a9,MGI:2152844
Rgn,MGI:108024
Gm13030,MGI:3651765
Tufm,MGI:1923686
Gm5065,MGI:3643170
Ninj1,MGI:1196617
Stat5b,MGI:103035
Acvrl1,MGI:1338946
Fga,MGI:1316726
Cpne4,MGI:1921270
Usp48,MGI:2158502
Adam19,MGI:105377
Rec114,MGI:1920923
Trpm5,MGI:1861718
Lipi,MGI:2443868
Atp6v1b1,MGI:103285
Fbxo40,MGI:2443753
Manf,MGI:1922090
Tmem81,MGI:1921876
1110051M20Rik,MGI:1915079
Calr4,MGI:2140435
Ifit1,MGI:99450
Vwf,MGI:98941
Adgrg3,MGI:1859670
Odf1,MGI:97424
Cope,MGI:1891702
Gdap1l1,MGI:2385163
Cfap52,MGI:1919110
Msl1,MGI:1921276
Gem,MGI:99844
Fbxo6,MGI:1354743
Cdh2,MGI:88355
Dbi,MGI:94865
Adssl1,MGI:87947
Cd276,MGI:2183926
Mir425,MGI:3619401
Gtf3c6,MGI:1914621
Vsig10,MGI:2448533
Ddah2,MGI:1859016
Mir199a-1,MGI:2676863
Erp29,MGI:1914647
Sds,MGI:98270
Hmx1,MGI:107178
Il10,MGI:96537
Tspan33,MGI:1919012
Ttf2,MGI:1921294
Ccl25,MGI:1099448
Tacr2,MGI:98477
Aip,MGI:109622
Star,MGI:102760
Ccdc178,MGI:1918200
Nme8,MGI:1920662
Ccnc,MGI:1858199
Tmem71,MGI:2146049
Cd4,MGI:88335
Znhit3,MGI:3051596
Pcbp2,MGI:108202
Timm29,MGI:1917023
Myef2,MGI:104592
Ccdc14,MGI:2443448
Olfr71,MGI:1860080
Dbnl,MGI:700006
Prok2,MGI:1354178
Zfp382,MGI:3588204
Abhd16b,MGI:3607711
Ddr2,MGI:1345277
Ptk2,MGI:95481
Hdhd5,MGI:2136976
Ccdc115,MGI:1916918
Troap,MGI:1925983
Mia,MGI:109615
Zcchc4,MGI:1926046
Tbx2,MGI:98494
Fam189a1,MGI:1917888
Cdh16,MGI:106671
Sema3g,MGI:3041242
Ap3m1,MGI:1929212
Cd200r4,MGI:3036289
Ulk4,MGI:1921622
Tspear,MGI:2671932
Gfra1,MGI:1100842
Scn1a,MGI:98246
Dpep3,MGI:1919104
Mpdu1,MGI:1346040
Tmem176b,MGI:1916348
Tnni3,MGI:98783
Cyp1a1,MGI:88588
Mir30b,MGI:2676908
Erbin,MGI:1890169
Coq8a,MGI:1914676
Far1,MGI:1914670
Nat8l,MGI:2447776
Slc12a3,MGI:108114
A130010J15Rik,MGI:2441776
Ppm1d,MGI:1858214
Tctex1d4,MGI:3045358
Tex261,MGI:1096575
Btbd1,MGI:1933765
Tbx18,MGI:1923615
Cfl1,MGI:101757
Ggt1,MGI:95706
Stk38l,MGI:1922250
1110008P14Rik,MGI:1920987
Commd2,MGI:1098806
Acp1,MGI:87881
Hdac7,MGI:1891835
Fgf21,MGI:1861377
Rhbdd2,MGI:1915612
C1qtnf4,MGI:1914695
Hes5,MGI:104876
Cd63,MGI:99529
Armc5,MGI:2384586
Ubxn4,MGI:1915062
Dpp6,MGI:94921
Dpys,MGI:1928679
Jmjd4,MGI:2144404
Zbtb14,MGI:1195345
Rictor,MGI:1926007
Ceacam15,MGI:2141810
Krt12,MGI:96687
Nr0b1,MGI:1352460
Nuak1,MGI:1925226
9530003J23Rik,MGI:1924647
Pradc1,MGI:1920577
Prss38,MGI:2685095
Slfn9,MGI:2445121
Zc3h14,MGI:1919824
Gas2,MGI:95657
Tubb3,MGI:107813
Cd163,MGI:2135946
Tshb,MGI:98848
Igfbpl1,MGI:1933198
Tpm1,MGI:98809
Aqp5,MGI:106215
Selplg,MGI:106689
Vwa5b2,MGI:2681859
Scgb3a1,MGI:1915912
Rabgap1,MGI:2385139
Irf6,MGI:1859211
Shcbp1l,MGI:1919086
Lcn8,MGI:2135945
Senp2,MGI:1923076
Inhbb,MGI:96571
Prkd1,MGI:99879
Coa7,MGI:1917143
Chd7,MGI:2444748
Dnajc1,MGI:103268
Gast,MGI:104768
Pdap1,MGI:2448536
Plin1,MGI:1890505
Zfp663,MGI:2685854
Fbxl5,MGI:2152883
Extl2,MGI:1889574
Gng4,MGI:102703
Tcam1,MGI:1923120
Selenom,MGI:2149786
Rell2,MGI:1918044
Sgca,MGI:894698
Lgals8,MGI:1928481
Trpc1,MGI:109528
Gm12169,MGI:3650838
Gm16379,MGI:3647120
Camsap3,MGI:1916947
Zfp292,MGI:1353423
